listing_id_masked,status,status_group,auction_start_date,auction_start_time,auction_end,starting_bid,address_anonymized,city_state,bedrooms,bathrooms,sqft,lot_size,year_built,structure_type,seller_value,rental_estimate,composite_estimate,deposit_requirement,current_highest_bid,is_hot,photo,product_type,asset_type,occupancy_status,venue_type,marketing_tags,link_masked,scraped_at
*****33,SALE_PENDING,ACTIVE,2026-07-23,17:00:00,,623200.0,XXXX N 43rd Pl,"Phoenix, AZ 85050, Maricopa County",3,2.0,2151,0.15,1996,SINGLE_FAMILY_HOME,735700.0,3618.0,734552.0,$10000,,,Available in full report,TRUSTEE,FORECLOSURE,OCCUPIED,LIVE,GOTO,https://www.********************,2026-07-22
*****53,SALE_PENDING,ACTIVE,2026-07-23,17:00:00,,178200.0,XXXX W Campbell Ave,"Phoenix, AZ 85017, Maricopa County",0,0.0,1418,0.16,1952,SINGLE_FAMILY_HOME,270000.0,2012.0,340271.0,$10000,,True,Available in full report,TRUSTEE,FORECLOSURE,OCCUPIED,LIVE,"GOTO, HOTP, HGYU, UTRY",https://www.********************,2026-07-22
*****44,SALE_PENDING,ACTIVE,2026-07-28,17:00:00,,,XXXX W Gold Dust Way,"San Tan Valley, AZ 85143, Pinal County",4,3.0,2654,0.12,2006,SINGLE_FAMILY_HOME,375600.0,1725.0,350169.0,$10000,,,Available in full report,TRUSTEE,FORECLOSURE,OCCUPIED,LIVE,"GOTO, UTRY, RURL",https://www.********************,2026-07-22
*****32,SALE_PENDING,ACTIVE,2026-07-23,17:00:00,,280800.0,XXXX South Winthrop,"Mesa, AZ 85204, Maricopa County",4,3.0,1409,0.22,1981,SINGLE_FAMILY_HOME,399200.0,2115.0,426305.0,$10000,,True,Available in full report,TRUSTEE,FORECLOSURE,VACANT,LIVE,"GOTO, HOTP, HGYU, UTRY",https://www.********************,2026-07-22
*****05,SALE_PENDING,ACTIVE,2026-07-23,17:00:00,,165000.0,XXXX McDowell Rd 409,"Mesa, AZ 85215, Maricopa County",2,2.0,880,0.05,1994,SINGLE_FAMILY_HOME,220000.0,1506.0,215159.0,$10000,,True,Available in full report,TRUSTEE,FORECLOSURE,OCCUPIED,LIVE,"GOTO, HOTP, HGYU, UTRY, RURL",https://www.********************,2026-07-22
*****65,SALE_PENDING,ACTIVE,2026-07-30,17:00:00,,,XXXX W Clanton Ave,"Buckeye, AZ 85326, Maricopa County",5,3.0,2483,0.15,2019,SINGLE_FAMILY_HOME,355000.0,1818.0,387292.0,$10000,,,Available in full report,TRUSTEE,FORECLOSURE,OCCUPIED,LIVE,"GOTO, UTRY, RURL",https://www.********************,2026-07-22
*****90,SALE_PENDING,ACTIVE,2026-07-28,17:00:00,,,XXXX North Camino Real,"Casa Grande, AZ 85122, Pinal County",3,2.0,1892,0.26,1981,SINGLE_FAMILY_HOME,,1604.0,307537.0,$10000,,,Available in full report,TRUSTEE,FORECLOSURE,VACANT,LIVE,"GOTO, UTRY, RURL",https://www.********************,2026-07-22
*****31,SALE_PENDING,ACTIVE,2026-07-23,17:00:00,,280500.0,XXXX N Brooklyn Dr,"Buckeye, AZ 85396, Maricopa County",4,3.0,2447,0.27,2008,SINGLE_FAMILY_HOME,425000.0,2030.0,431439.0,$10000,,True,Available in full report,TRUSTEE,FORECLOSURE,OCCUPIED,LIVE,"GOTO, JANU, UTRY, HOTP, HGYU, RURL",https://www.********************,2026-07-22
*****39,SALE_PENDING,ACTIVE,2026-07-30,17:00:00,,,XXXX W Cottonwood St,"Surprise, AZ 85374, Maricopa County",4,2.0,1883,0.15,2000,SINGLE_FAMILY_HOME,358000.0,2010.0,376938.0,$10000,,,Available in full report,TRUSTEE,FORECLOSURE,OCCUPIED,LIVE,"GOTO, UTRY",https://www.********************,2026-07-22
*****84,SALE_PENDING,ACTIVE,2026-07-23,17:00:00,,,XXXX E Aspen Ave,"Mesa, AZ 85206, Maricopa County",3,3.0,1140,0.2,1962,SINGLE_FAMILY_HOME,315000.0,1897.0,339016.0,$10000,,,Available in full report,TRUSTEE,FORECLOSURE,OCCUPIED,LIVE,"GOTO, UTRY",https://www.********************,2026-07-22
